,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
4,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Кажется, меня прокляла старая хозяйка квартиры.  Слишком уж всё было хорошо, и тут вдруг нам на голову начала литься вода прямо с потолка!","Соседи с верху меня топили, а соседи с низу приходили ругаться - но пока я пыталась справиться с потопом, разговаривал с ними муж. К счастью, я вспомнила историю подруги, которая работала в вайлдбериз и спасла склад товаров с помощью одной находки, которую до сих пор можно заказать на площадке. Тут же зашла в телефон и заказала себе эту находку, потому что ситуация требовала срочного решения.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко обрезать под любой размер, Легко сушить, Под разморозку, Впитывает всё, Не скользит","Впитывает быстрее, чем я успеваю паниковать! Артикул оставляю в описании!"
5,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Эта вещь точно должна быть на вашей кухне. Теперь я не представляю, как бы справлялась, если бы про неё не узнала.","А все произошло благодаря мужу. В парке он погнался за уткой - как обычно, хотел познакомиться с новыим другом и поиграть с ним. В итоге, сам чуть не плюхнулся в пруд. Утка отскочила, а пойти за ней он не рискнул. Мимо проходил прохожий, посмотрел на мокрого мужа, и подсказал мне эту находку на вайлдбериз, благодаря которой мокрые ботинки после улицы больше не страшны нашей прихожей.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко сушить, Впитывает всё, Под зубные щетки, Защита от грибков, Легко обрезать",Артикул я оставила в описании!
6,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вот это да, такого я не ожидала от вайлдберриз!","Долго думали с мужем, стоит ли заказывать очередную безделушку в дом с вайлдбериз. Иногда мне кажется, он уже совсем устал от моих покупок. Ну а я устала от грязной прихожей после прогулок, так что нужно было что-то делать. В этот раз особенно нервничали, потому что не знали, сойдутся ли ожидание и реальность. И вообще, будет ли мужу комфортно использовать эту штуку, или она будет бесполезно пылиться, как некоторые наши другие покупки.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не скользит, Легко мыть, Под цветы, Под посуду, Защищает от воды","В общем, коврик себя оправдал! Артикулом делюсь в описании!"
7,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Расскажу историю, как муж спас нашу бабушку.","Мы уронили бабушку. Она не плакала. но очень громко ругалась. А все потому, что кто-то очень неаккуратно сушил посуду, и расплескал вокруг всю воду! На мужа ругаться мы, конечно, не дали. Но и с водой на полу было пора что-то делать. Муж, видимо, чувстовал себя виноватым, потому что залез в компьютер и случайно открыл страницу вайлдбериз, на которой мы обнаружили эту находку и сразу же её заказали..","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под обувь, Защита от бактерий, Легко сушить, Впитывает всё, Легко мыть",Артикулом делюсь в описании! А бабушка точно больше не упадет. 
8,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,В вайлдбериз опять перепутали заказ.,"Ну насколько можно быть невнимательными, чтобы это случилось снова? Решила заказать мужу носки, но вместо них пришел совершенно другой товар. Я сначала расстроилась и хотела вернуть, но потом подумала - а почему бы не попробовать? Может, пригодится?
Мужу тоже было интересно, что же там такое, хотя он тоже уже понял, что носки придется еще подождать. Что же подсунул нам WB?","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко обрезать, Под разморозку рыбы, Не пропускает воду, Защита от бактерий, Не скользит",Коврик точно оставлю! А артикулом делюсь в описании!
9,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Сижу, чешу кота и слышу на кухне звуки воды!","Оказалось, муж решил попить и каким-то образом открыл кран в раковине. Сам мокрый и напуганный, так и вокруг на кухне оказались просто океаны воды. Вот уже попил, так попил!
Это происходит уже не в первый раз, и я решила менять подход. Вода будет литься и дальше, а значит, нужно понять, как её впитывать.
К стчастью, я вспомнила, как недавно видела у подруги в корзине находку на вайлдбериз, о которой бы раньше и не задумалась. Сразу же заказала, и вот она наконец-то пришла.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть, Легко сушить, Под посуду, Под обувь, Впитывает всё",Кухня под защитой! Артикулом делюсь в описании!
10,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Как НЕ надо сушить посуду,"Способ первый - стелим полотенце — оно мокнет за минуту. Теперь у нас на столе лужжа воды. Способ второй - ставим тарелки прямо на стол — потом оттираем липкую лужу. Способ третий - любимые всеми подставки под посуду. Вода в них капает, а потом там разрастается плесень. Так как же стелить посуду? Оказывается, есть очень технологичный способ - сама бы никогда о нем не задумалась, но знакомая подсказала мне свою находку на вайлдбериз!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Устраняет запах, Без хлора, 99% бактерий и грибков убивает, Можно использовать с септиком, Гипоаллергенный",Артикул в описании — сушите посуду правильно!
11,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Аффирмация для спасения кухни от плесени!,"«Я хозяйка своего пространства, на моей кухне порядок, плесень уходит. Уходи, плесень, уходи!"" Такую аффирмацию повторяла я каждый день, и каждый день вытирала воду со стола по три раза за утро. А плесень продолжала появляться! Но недавноа мои аффирмации наконец сбылись: кухня чистая, посуда сохнет, а я не нервничаю. И все благодаря тому, что мои аффирмации заставили мою подругу поделиться со мной этой находкой на вайлдберриз!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Устраняет запах, Без фосфатов, Устраняет накипь, Гипоаллергенный, Можно использовать с септиком",Артикул оставила в описании! А аффирмацию забирайте в сохраненки!
12,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,В мире набирает популярноссть движение против плесени,"Активисты движения что только не делают с плесенью, чтобы ее вычистить, и показывают это в видео, чтобы привлечь внимание людей к этой вонючей проблеме. Посмотрела я эти видео, и думаю - вместо того, чтобы устранять плесень, лучше бы они подумали, как сделать так. чтобы она вообще не появлялась! И оказывается, они  и это делают - в видео со всего мира популяризируют один технологичный продукт, чтобы избавиться от плесени навсегда. Поискала - оказывается, он есть и на вайлдберриз! Заказала себе, и радуюсь - сейчас про него расскажу.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","99% бактерий и грибков убивает, Без хлора, Продлевает срок службы техники, Устраняет запах, Гипоаллергенный",Победим плесень вместе! Артикул коврика оставила в описании.
13,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Я решила избавиться от комаров в квартире народными средствами. И вот, что поняла - мой топ методов, которые не работают! Не используйте окуривание беленой, старый репейник на подоконнике или сахарок в банке! Оказывается, комары сахар не едят, а вот муравьям он стал приглашением к столу! Я перепробовала всё: дымило, горело, липло, а комары продолжали штурмовать окна. Пока сосед Димочка из квартиры сверху не подсказал мне эту удивительную находку на вайлдберриз! Я сразу же заказала, и ни разу не пожалела.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Эффективная защита от насекомых

Лёгкий монтаж

Отличная вентиляция

Спокойный сон и отдых

Долговечность
","Артикул — в описании, забудь про самоделки!"
14,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Это должно быть в квартире у каждой хозяйки! Я видела, как соседи ставят фумигаторы, используют разные травы на подоконнике, чтобы комары не залетали — бесполезно. Эти перепончатокрылые продолжают атаковать их квартиры. Есть старые москитки, но они постоянно рвутся и отклеиваются, так что тоже не помогают решить проблему.  Я билась над решением три года, и вот наконец нашла то, что спасет нас от комаров!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Универсальность

Комфорт без укусов

Эстетичный дизайн

Лёгкий монтаж

Подходит для любых условий
",Артикулом делюсь в описании!
15,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Подруга пришла в гости, и ее укусил комар так сильно, что она чесалась так сильно, что упала со стула. Так сильно! Она показала мне бедро, усыпанное точками. Я улыбнулась и сказала: «Хорошо, что это всего лишь комары. А решение от них уже у меня в корзине вайлдберрриз. И сразу же сделала заказ.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Улучшение качества жизни

Надёжная защита от комаров

Лёгкость установки

Можно использовать в путешествиях

Эстетичный внешний вид
","Артикул — в описании, спасай друзей от укусов!"
16,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Что общего между липкой лентой, ультразвуком, фумигатором и окуриванием травами? Они все не работают, когда в квартире нашествие комаров. Я поочерёдно тестировала каждый — комары просто смеялись. Я много чего перепробовала, но затем нашла вот эту находку на вайлдбериз, которая помогает мне не думать о комарах в доме.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Подходит для любых условий

Долговечность

Отличная вентиляция

Лёгкий монтаж

Уютная атмосфера в доме","Артикул — в описании, выбери эффективную защиту!"
17,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"«Я не увижу ни одного комара. Ни одного укуса на моей коже не зудит. Никто не пищщит над ухом. Никто меня не кусает ни днем, ни ночью, ни вечером...» —Так повторяла я себе, пока всю ночь просыпалась от комариного писка. Никакие мантры и аффирмации не спасали: комары знали, где я сплю, это место было отмечено на всех их картах, по которым они готовили ночные нападения, и атаковали они без пощады. Но, не так давно, я нашла на ваалйдбериз вот эту альтернативу эзотерике.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Спокойный сон без укусов

Лёгкая установка

Универсальный размер

Можно брать с собой на дачу

Защита от любых насекомых","Артикул в описании — забудь мантры, ставь сетку!"
18,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В мире набирает популярность вот этот лайфхак для дома! И мне в квартиру он тоже пригодился. В Китае её ставят в каждую квартиру, в Бразилии — даже на балконы в фавеллах, и даже в Австралии маркетологи её называют «щитом от тарантулов». Я сначала не верила, что у нас это сработает, ведь комары здесь такие маленькие! Пока прошлым летом не поставила и не услышала… тишину. Никакого писка, а все благодаря этой находке на вайлдберриЗ!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Качественные материалы

Свежий воздух без комаров

Не портит интерьер

Идеальна для дачи и дома

Установка без инструментов",Артикул в описании — попробуй тренд первым!
19,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В соседнем дворе ридумали супер-простой способ держать комаров на улице, и не пускать их в дом. Сначала я смеялась, думала, что это Ленка оттуда байки рассказывает. Но потом мужик из их квартала пришел к нам, и везь день ходил хвастался, что на коже ни одного укуса. А у них рядом река! Тогда мы решили ночью пробраться в их квартал и узнать, в чем эе дело. Оказалось, они нашли новую находку на вайлдберриз, а нам не рассказали! ","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Эффективная защита

Простая установка

Удобство в быту

Использование в разных условиях

Совместимость с любым интерьером",Ссылка в описании — скоро такие будут в каждом доме!
20,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Расскажу лайфак, как с помощью знания физики обычного школьного уровня можно сделать жизнь проще. В моем детстве мы мучались от комаров. Оказывается, зумеров давно учат в школе, как с этим справиться!  Учитель физики в школе моего ребенка вызвала нас в школу и подсказал мне этот действительно стоящий совет. Я думала, он подскажет мне какое-то физическое решение, но он всего лишь поделился со мной своей находкой на вайлдбериз. Я сразу же заказала её, и не пожалела!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Свежий воздух без комаров

Безопасность и уют

Лёгкость в уходе

Быстрая установка

Подходит для семьи","Артикул — в описании, доверяй науке и живи без укусов!"
21,Евгения,сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Делюсь своим завтраком на сегодня! Готовить я его буду из слабосоленой лука, вчерашнего кефира, персика и одного листка салата. И... из мухи? Опять пролетела через дверь! Но, к счастью, это последний мой завтрак из мухи, потому что недавно я была в кафе, и очень удивилась, что там еда совершенно без мух! Спросила у них, как они спасаются от насекомых, и они подсказали мне находку на вайлдберриз, с которой моя жизнь точно станет лучше. В чем же оказался их секрет?","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Лёгкий монтаж

Удобство в поездках

Дизайн, который не бросается в глаза

Комфорт без зуда

Подходит под все окна",Артикул в описании — завтрак без жужжания гарантирован!
22,Ирина,Стикеры для обуви,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В кадре: 
Крупный план: кастрюля на плите, в нее кладут старую обувь. Девушка стоит у плиты, помешивает кастрюлю длинной ложкой, лицо максимально серьёзное — как будто варит борщ, но кадр слегка абсурдный.

""В кастрюле у меня варились… не пельмени, а кеды мужа.""

В кадре:
Дверь медленно открывается, в проёме — соседка с пакетом, смотрит в шоке. (соседку тоже можно отыграть самостоятельно)
Девушка с ложкой — в ступоре, застыла. Замерли. Абсурд и пауза.

""Если бы кто-то зашёл — я бы не объяснила.""

В кадре:
– девушка сжимает нос, держа кеды на вытянутой руке;
– стиралка — в неё вталкиваются те же кеды
- пшик дезодоранта в обувь

""Просто если ты хоть раз сталкивалась с этим запахом,
ты понимаешь, что стиралка не помогает. Дезодоранты? Тоже нет.""

В кадре: Автор в процессе уборки берёт пару обуви и ставит у стены. Приседает, нюхает — слегка морщится. - тут нужно много кадров в нарезке, чтобы была динамика, фраза длинная. Не одним кадром.

""Всё началось, когда мы поехали в гости к его маме.
Сняли обувь в коридоре — и её брат,
не скрываясь, открыл окно.""

В кадре: Автор листает Wildberries, в кадре мелькает карточка товара.
Останавливается, делает скрин/добавляет в корзину.
""Муж не понял, а я поняла. И только когда я уже почти сдалась, я наткнулась на эту штуку на вайлдбериз""

В кадре: Показываем товар и как им пользоваться
""Маленькая. Без запаха. Без заморочек.
Просто кладёшь в обувь — и через день её можно нюхать, как свежевыпеченный хлеб.""

В кадре: Автор снова берёт обувь, нюхает. На лице: удивление.
""Если ты не хочешь, чтобы обувь твоих близких позорила всю семью —
просто попробуй. Артикул в описании.""",,,
23,Ирина,Стикеры для обуви,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"🎙️

""Я не знала, что человек может излучать аромат, как будто он носит обувь не с октября — а с предыдущей жизни.""

🎬 Кадр 1:
📍Коридор.
Актриса аккуратно открывает шкафчик или отодвигает обувь —  видно, как она осторожно морщится и закрывает обратно.

🎙️

""Я пыталась:
— стирать,
— сушить на батарее,
— сыпать туда соду,
— проводить очищающие ритуалы с шалфеем и солью.""

🎬 Кадр 2:
📍Быстрая нарезка

Бросает обувь в стиралку

Обувь стоит на батарее

Насыпает соду внутрь

Над обувью держит пучок шалфея (или любой другой травы, хоть с газона), поджигает — всё всерьёз, будто это норма

🎙️

""Но каждый раз, когда он снимал кроссовки, у меня текли слёзы.""

🎬 Кадр 3:
📍Коридор
Автор проходит мимо обуви и замирает.
В следующем кадре сидит на полу в ванной — просто дышит (ускорение или нарезка, нужна динамика)

🎙️

""И вот однажды я захожу в прихожую,
а он мне:
— Ты не пробовала сама что-нибудь придумать, раз тебе не нравится?""

🎬 Кадр 4:
📍Коридор.
Актриса заходит в прихожую, слышит фразу (мужским голосом, или отыграть мужской голос, можно наигранно)

🎙️

""И тогда я вспомнила, совсем недавно подруга посоветовала мне эту находку на вайлдберриз.
И тут началась другая жизнь.""

🎬 Кадр 5:
📍Кухня/диван.
Автор листает Wildberries, набирает что-то в поиске. Экран с товаром.
Следующий кадр — достаёт посылку.

🎙️

""Подруга на девичнике показала мне маленький пакетик и рассказала про эти стикеры.
Я посмеялась. А зря.""

🎬 Кадр 6:
📍Кухня или спальня.
Автор смотрит на стикер, иронично хмыкает, но кладёт в обувь.

🎙️

""Я бросила один в кеды.
Через час открываю — и будто они лежали в цветочном холодильнике.""

🎬 Кадр 7:
📍Коридор.
Она открывает обувь.
Реакция — неожиданная пауза. Смотрит внутрь. Потом наклоняется, нюхает — удивлённый взгляд. Восхищение. Можно еще покзать стикеры, больше кадров для динамики

🎙️

""Они реально нейтрализуют запах — не маскируют, не перебивают, а убирают причину.
У них внутри — активные сорбенты и аромат.
И он, кстати, не резкий

🎬 Кадр 8:
📍Крупный план стикера в руке - нарезка, показываем с разных сторон, коробку тоже
Рядом — пара обуви

🎙️

""Теперь у меня в каждой паре — свой стикер.
Даже в гостевых тапках.""

🎬 Кадр 9:
📍Общий план: шкаф с обувью.
Она методично раскладывает стикеры в разные пары.
На тапках чуть замирает и кидает туда тоже. 

🎙️

""Ставь в обувь — и живи без ужаса на входе.
Артикул — в описании.""

🎬 Кадр 10:
📍Прихожая.
Обувь ровно расставлена, везде стикеры.",,,
24,Ирина,Стикеры для обуви,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Сцена 1
Действие в кадре: блогер открывает обувной шкаф и ухмыляется, заглядывая внутрь. Показываем обувь, разные пары.
Озвучка:
Бывшая мужа пришла в ярость, когда это увидела.
Говорит: «Ну конечно, теперь ты ещё и пахнешь лучше, чем при мне».
А я стою, улыбаюсь, и думаю: «Милая, это не он пахнет — это его обувь».

Сцена 2
Действие в кадре: блогер достаёт из шкафа мужские кроссовки и с демонстративным восторгом нюхает. Потом другие ботинки и т.д.
Озвучка:
Да-да, вот эти самые.
Когда-то от них пахло, будто он в них родился, жил и не вылезал.
Я пыталась всё: и стирку, и батарею, и даже соду, и молитвы, и соль.
Но каждый раз — как открываешь коробку Пандоры. Только вместо бед — запах носка.

Сцена 3
Действие в кадре: Показываем пакет с вайлдбериз и распаковку товара.
Озвучка:
Пока однажды подруга не показала мне эту штуку с вайлдберриз.
Вот так: достаёшь стикер — и кидаешь в обувь.

Сцена 4
Действие в кадре: кидает стикер в кроссовок, закрывает его и уходит; продолжаем показывать стикеры с разных сторон.
Озвучка:
Через час я пришла проверить.
Открываю обувь — а оттуда запах, как будто ты зашла в цветочный холодильник.
Свежесть, лёгкость, ноль вони.
Как будто эта обувь не его — а новой жизни.

Сцена 5
Действие в кадре: расставляет стикеры по другим парам обуви, в тапочки, ставит обувь ровно (залипательное действие).
Озвучка:
Теперь у меня эти стикеры во всей обуви. Даже в гостевых тапках.
Они не маскируют, не брызгают, не душат запах — они его реально убирают.

Сцена 6
Действие в кадре: закрывает шкаф, снова показываем стикеры.
Озвучка:
Хочешь, чтобы в доме пахло свежестью, а не беговой дорожкой?
Артикул — в описании.
",,,
